2025-08-20 00:14:17 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:135 - ERROR - 创建集合失败: type object 'MetricType' has no attribute 'COSINE'
2025-08-20 00:14:17 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: 徐泽坤.pdf, 错误: 无法创建Milvus集合
2025-08-20 00:14:53 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: xzk.pdf, 任务ID: bac0960a-96d4-4ec4-8032-6c0a70006960
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmp9f80ue86.pdf
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmp9f80ue86.pdf
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-20 00:15:01 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_xzk_1755620097, 模型: zhipuai
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | milvus_client.create_connection:73 - INFO - Milvus连接创建成功
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:97 - INFO - 创建集合: test_xzk_1755620097
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:135 - ERROR - 创建集合失败: type object 'MetricType' has no attribute 'COSINE'
2025-08-20 00:15:02 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: xzk.pdf, 错误: 无法创建Milvus集合
2025-08-20 00:20:03 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: xzk.pdf, 任务ID: 361eeb0f-d3f7-46ad-b0c2-68c839e50b46
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmpcdedgese.pdf
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmpcdedgese.pdf
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-20 00:20:18 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_xzk_1755620414, 模型: zhipuai
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | milvus_client.create_connection:73 - INFO - Milvus连接创建成功
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:97 - INFO - 创建集合: test_xzk_1755620414
2025-08-20 00:20:19 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:111 - INFO - 检测到嵌入模型维度: 1024
2025-08-20 00:20:20 - SpawnProcess-1 | MainThread | milvus_client.create_collection_if_not_exists:141 - INFO - 集合 test_xzk_1755620414 创建成功
2025-08-20 00:20:20 - SpawnProcess-1 | MainThread | milvus_client.add_documents:163 - INFO - 开始添加 4 个文档到向量存储
2025-08-20 00:20:20 - SpawnProcess-1 | MainThread | milvus_client.add_documents:172 - ERROR - 添加文档失败: <SchemaNotReadyException: (code=1, message=The parameter consistency_level is inconsistent with that of existed collection.)>
2025-08-20 00:20:20 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: xzk.pdf, 错误: 文档存储到Milvus失败
2025-08-20 00:22:36 - SpawnProcess-2 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: xzk.pdf, 任务ID: 4965f10f-b50c-4ac8-b50d-7bf762d890ea
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmp_bngbgfa.pdf
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmp_bngbgfa.pdf
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-20 00:24:22 - SpawnProcess-2 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_xzk_1755620657, 模型: zhipuai
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | milvus_client.create_connection:73 - INFO - Milvus连接创建成功
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | milvus_client.create_collection_if_not_exists:97 - INFO - 创建集合: test_xzk_1755620657
2025-08-20 00:24:23 - SpawnProcess-2 | MainThread | milvus_client.create_collection_if_not_exists:111 - INFO - 检测到嵌入模型维度: 1024
2025-08-20 00:24:24 - SpawnProcess-2 | MainThread | milvus_client.create_collection_if_not_exists:141 - INFO - 集合 test_xzk_1755620657 创建成功
2025-08-20 00:24:24 - SpawnProcess-2 | MainThread | milvus_client.add_documents:163 - INFO - 开始添加 4 个文档到向量存储
2025-08-20 00:24:25 - SpawnProcess-2 | MainThread | milvus_client.add_documents:172 - ERROR - 添加文档失败: <SchemaNotReadyException: (code=1, message=The parameter consistency_level is inconsistent with that of existed collection.)>
2025-08-20 00:24:25 - SpawnProcess-2 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: xzk.pdf, 错误: 文档存储到Milvus失败
2025-08-20 00:25:16 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:26:03 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: xzk.pdf, 任务ID: 1bc085e2-40e1-4fc6-b101-36d90fcfece1
2025-08-20 00:26:03 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:26:03 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmp7bo1beew.pdf
2025-08-20 00:26:03 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmp7bo1beew.pdf
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_xzk_1755620759, 模型: zhipuai
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-20 00:26:04 - SpawnProcess-1 | MainThread | milvus_client.create_connection:73 - INFO - Milvus连接创建成功
